alfa, Cl, Cd, Cm
-10.0, -0.701, 0.04420, -0.098
-9.0, -0.588, 0.04155, -0.100
-8.0, -0.475, 0.03921, -0.102
-7.0, -0.359, 0.03727, -0.104
-6.0, -0.243, 0.03572, -0.106
-5.0, -0.126, 0.03449, -0.108
-4.0, -0.009, 0.03348, -0.110
-3.0, 0.109, 0.03291, -0.111
-2.0, 0.228, 0.03206, -0.113
-1.0, 0.346, 0.03165, -0.117
0.0, 0.465, 0.03308, -0.115
1.0, 0.635, 0.02850, -0.116
2.0, 0.751, 0.02483, -0.116
3.0, 0.869, 0.02746, -0.116
4.0, 0.970, 0.02896, -0.115
5.0, 1.075, 0.03098, -0.115
6.0, 1.177, 0.03345, -0.114
7.0, 1.273, 0.03639, -0.114
8.0, 1.365, 0.03963, -0.113
9.0, 1.453, 0.04311, -0.114
10.0, 1.538, 0.04657, -0.115
11.0, 1.652, 0.05504, -0.120
12.0, 1.712, 0.06068, -0.120
13.0, 1.759, 0.06653, -0.119
14.0, 1.793, 0.07387, -0.119
15.0, 1.811, 0.08275, -0.118
16.0, 1.628, 0.14356, -0.068
17.0, 1.627, 0.15959, -0.061
18.0, 1.620, 0.17669, -0.057
19.0, 1.606, 0.19491, -0.056
20.0, 1.583, 0.21348, -0.054

