angle,frequency
5.0,0.0021251902587519026
15.0,0.0020357686453576864
25.0,0.0022659817351598174
35.0,0.0026103500761035007
45.0,0.0028424657534246575
55.0,0.0028443683409436833
65.0,0.0025095129375951293
75.0,0.0015886605783866057
85.0,0.0014421613394216134
95.0,0.0016076864535768645
105.0,0.001980593607305936
115.0,0.0018987823439878234
125.0,0.0026445966514459665
135.0,0.002817732115677321
145.0,0.0022659817351598174
155.0,0.0027454337899543383
165.0,0.003493150684931507
175.0,0.004355022831050229
185.0,0.004794520547945206
195.0,0.004754566210045662
205.0,0.005506088280060883
215.0,0.005102739726027397
225.0,0.005407153729071537
235.0,0.005294901065449011
245.0,0.0039250380517503805
255.0,0.00326103500761035
265.0,0.0028063165905631657
275.0,0.0022222222222222222
285.0,0.0019463470319634702
295.0,0.001341324200913242
305.0,0.0013489345509893457
315.0,0.0016191019786910197
325.0,0.0015468036529680364
335.0,0.0013679604261796043
345.0,0.0018645357686453577
355.0,0.0018169710806697108
